scenario,controller,metric,metric_label,n_runs,estimate,ci95_low,ci95_high,summary_statistic
S2,cloud_maxpressure,proposed_unsafe_actions,Proposed policy violations,20,0.0,0.0,0.0,mean_of_runs
S2,cloud_maxpressure,blocked_unsafe_actions,Blocked policy violations,20,0.0,0.0,0.0,mean_of_runs
S2,cloud_maxpressure,executed_unsafe_actions,Executed policy violations,20,0.0,0.0,0.0,mean_of_runs
S2,coordinated_maxpressure,mean_time_loss_s,Mean time loss (s),20,91.40481669593487,86.27926361791158,97.43862666120093,mean_of_runs
S2,coordinated_maxpressure,p95_time_loss_s,P95 time loss (s),20,279.70500000000004,272.72,332.735,median_of_run_values
S2,coordinated_maxpressure,p95_trip_time_s,P95 trip time (s),20,380.5,364.5,438.0,median_of_run_values
S2,coordinated_maxpressure,emergency_trip_time_s,Emergency trip time (s),20,440.25,432.6,448.40124999999995,mean_of_runs
S2,coordinated_maxpressure,completed_trips,Completed trips,20,1998.25,1996.0,2000.6,mean_of_runs
S2,coordinated_maxpressure,max_total_queue,Maximum total queue,20,143.3,131.94875,155.95124999999996,mean_of_runs
S2,coordinated_maxpressure,max_spillback_duration_s,Maximum spillback duration (s),20,0.0,0.0,0.0,mean_of_runs
S2,coordinated_maxpressure,wan_application_bytes,WAN application bytes/h,20,0.0,0.0,0.0,mean_of_runs
S2,coordinated_maxpressure,peer_application_bytes,Peer application bytes/h,20,0.0,0.0,0.0,mean_of_runs
S2,coordinated_maxpressure,proposed_unsafe_actions,Proposed policy violations,20,0.0,0.0,0.0,mean_of_runs
S2,coordinated_maxpressure,blocked_unsafe_actions,Blocked policy violations,20,0.0,0.0,0.0,mean_of_runs
S2,coordinated_maxpressure,executed_unsafe_actions,Executed policy violations,20,0.0,0.0,0.0,mean_of_runs
S2,fixed,mean_time_loss_s,Mean time loss (s),20,58.58003190318364,58.08760711055146,59.07692641305955,mean_of_runs
S2,fixed,p95_time_loss_s,P95 time loss (s),20,140.615,136.84,145.89,median_of_run_values
S2,fixed,p95_trip_time_s,P95 trip time (s),20,258.0,256.0,260.0,median_of_run_values
S2,fixed,emergency_trip_time_s,Emergency trip time (s),20,108.1,107.85,108.35,mean_of_runs
S2,fixed,completed_trips,Completed trips,20,2003.1,2002.35,2003.9,mean_of_runs
S2,fixed,max_total_queue,Maximum total queue,20,103.6,100.8,106.1,mean_of_runs
S2,fixed,max_spillback_duration_s,Maximum spillback duration (s),20,0.0,0.0,0.0,mean_of_runs
S2,fixed,wan_application_bytes,WAN application bytes/h,20,0.0,0.0,0.0,mean_of_runs
S2,fixed,peer_application_bytes,Peer application bytes/h,20,0.0,0.0,0.0,mean_of_runs
S2,fixed,proposed_unsafe_actions,Proposed policy violations,20,0.0,0.0,0.0,mean_of_runs
S2,fixed,blocked_unsafe_actions,Blocked policy violations,20,0.0,0.0,0.0,mean_of_runs
S2,fixed,executed_unsafe_actions,Executed policy violations,20,0.0,0.0,0.0,mean_of_runs
S2,local_maxwave,mean_time_loss_s,Mean time loss (s),20,55.031037934881944,53.75670725987998,56.377544237291374,mean_of_runs
S2,local_maxwave,p95_time_loss_s,P95 time loss (s),20,176.485,172.655,181.865,median_of_run_values
S2,local_maxwave,p95_trip_time_s,P95 trip time (s),20,250.5,247.0,260.5,median_of_run_values
S2,local_maxwave,emergency_trip_time_s,Emergency trip time (s),20,411.9,403.1,421.5,mean_of_runs
S2,local_maxwave,completed_trips,Completed trips,20,2014.4,2013.75,2015.05,mean_of_runs
S2,local_maxwave,max_total_queue,Maximum total queue,20,108.1,101.55,115.35,mean_of_runs
S2,local_maxwave,max_spillback_duration_s,Maximum spillback duration (s),20,0.0,0.0,0.0,mean_of_runs
S2,local_maxwave,wan_application_bytes,WAN application bytes/h,20,0.0,0.0,0.0,mean_of_runs
S2,local_maxwave,peer_application_bytes,Peer application bytes/h,20,0.0,0.0,0.0,mean_of_runs
S2,local_maxwave,proposed_unsafe_actions,Proposed policy violations,20,0.0,0.0,0.0,mean_of_runs
